"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019, (V2019)",43.50%
"Population estimates, July 1, 2019, (V2019)","64,776"
"Population estimates base, April 1, 2010, (V2019)","45,139"
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019, (V2019)",43.50%
"Population, Census, April 1, 2010","44,894"
"Persons under 5 years, percent",4.30%
"Persons under 18 years, percent",14.30%
"Persons 65 years and over, percent",7.20%
"Female persons, percent",51.30%
"White alone, percent",83.90%
"Black or African American alone, percent(a)",6.00%
"American Indian and Alaska Native alone, percent(a)",0.10%
"Asian alone, percent(a)",2.40%
"Native Hawaiian and Other Pacific Islander alone, percent(a)",0.00%
"Two or More Races, percent",3.30%
"Hispanic or Latino, percent(b)",40.60%
"White alone, not Hispanic or Latino, percent",48.80%
"Veterans, 2014-2018","2,419"
"Foreign born persons, percent, 2014-2018",8.80%
"Housing units, July 1, 2019, (V2019)",X
"Owner-occupied housing unit rate, 2014-2018",27.60%
"Median value of owner-occupied housing units, 2014-2018","$163,500"
"Median selected monthly owner costs -with a mortgage, 2014-2018","$1,467"
"Median selected monthly owner costs -without a mortgage, 2014-2018",$523
"Median gross rent, 2014-2018","$1,000"
"Building permits, 2019",X
"Households, 2014-2018","22,775"
"Persons per household, 2014-2018",2.43
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",66.00%
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",28.80%
"Households with a computer, percent, 2014-2018",93.30%
"Households with a broadband Internet subscription, percent, 2014-2018",73.60%
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",87.00%
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",33.60%
"With a disability, under age 65 years, percent, 2014-2018",6.90%
"Persons without health insurance, under age 65 years, percent",18.80%
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",66.90%
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",61.90%
"Total accommodation and food services sales, 2012 ($1,000)(c)","215,611"
"Total health care and social assistance receipts/revenue, 2012 ($1,000)(c)","355,121"
"Total manufacturers shipments, 2012 ($1,000)(c)","687,584"
"Total merchant wholesaler sales, 2012 ($1,000)(c)",D
"Total retail sales, 2012 ($1,000)(c)","1,501,912"
"Total retail sales per capita, 2012(c)","$30,038"
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",21.9
"Median household income (in 2018 dollars), 2014-2018","$37,593"
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","$20,392"
"Persons in poverty, percent",34.40%
"Total employer establishments, 2018",X
"Total employment, 2018",X
"Total annual payroll, 2018 ($1,000)",X
"Total employment, percent change, 2017-2018",X
"Total nonemployer establishments, 2018",X
"All firms, 2012","3,544"
"Men-owned firms, 2012","1,829"
"Women-owned firms, 2012","1,152"
"Minority-owned firms, 2012","1,108"
"Nonminority-owned firms, 2012","2,076"
"Veteran-owned firms, 2012",316
"Nonveteran-owned firms, 2012","2,821"
"Population per square mile, 2010","1,485.60"
"Land area in square miles, 2010",30.22
FIPS Code,4865600
source ,https://www.census.gov/quickfacts/fact/table/sanmarcoscitytexas/PST120219